system,algorithm,seed,generation,best_fitness,median_fitness,diversity,elapsed_s
plugin_platform_24,DTMC-GA,15,3,6.300083773054581,6.24822429748992,0.38573232323232326,0.049871786000949214
plugin_platform_24,DTMC-GA,15,4,6.3158083320920335,6.300083773054581,0.041035353535353536,0.06226757200056454
plugin_platform_24,DTMC-GA,15,5,6.403617553282583,6.3112279785749665,0.05113636363636361,0.07484213600037037
plugin_platform_24,DTMC-GA,15,6,6.403617553282583,6.3158083320920335,0.058080808080808066,0.08630832500057295
plugin_platform_24,DTMC-GA,15,7,6.437493769908601,6.403617553282583,0.04924242424242423,0.09782401800111984
plugin_platform_24,DTMC-GA,16,0,6.07374688912126,5.62871864189147,0.8112373737373737,0.013185361998694134
plugin_platform_24,DTMC-GA,16,1,6.07374688912126,5.614199070804789,0.6742424242424242,0.025612354998884257
plugin_platform_24,DTMC-GA,16,2,6.074897309467079,5.963088534121264,0.5075757575757573,0.03735879399937403
plugin_platform_24,DTMC-GA,16,3,6.205764226985269,6.07374688912126,0.2676767676767676,0.05081730699930631
plugin_platform_24,DTMC-GA,16,4,6.37375668325934,6.17535191668174,0.30239898989898983,0.06288845499875606
plugin_platform_24,DTMC-GA,16,5,6.41107099546151,6.17708968457169,0.2575757575757575,0.07523898199906398
plugin_platform_24,DTMC-GA,16,6,6.41107099546151,6.346902926273897,0.15340909090909088,0.08720078599981207
plugin_platform_24,DTMC-GA,16,7,6.41107099546151,6.41107099546151,0.044823232323232334,0.09935324599973683
plugin_platform_24,DTMC-GA,17,0,6.061812895771607,5.605890073253378,0.8011363636363633,0.013556790001530317
plugin_platform_24,DTMC-GA,17,1,6.314267048748654,5.743510493219324,0.6976010101010098,0.025958415000786772
plugin_platform_24,DTMC-GA,17,2,6.314267048748654,6.061812895771607,0.5252525252525254,0.038285196000288124
plugin_platform_24,DTMC-GA,17,3,6.4617673517852365,6.314267048748654,0.3162878787878788,0.05094809300135239
plugin_platform_24,DTMC-GA,17,4,6.4617673517852365,6.314267048748654,0.03598484848484848,0.06332144500083814
plugin_platform_24,DTMC-GA,17,5,6.4617673517852365,6.4617673517852365,0.034722222222222224,0.07592197900157771
plugin_platform_24,DTMC-GA,17,6,6.559807786420344,6.4617673517852365,0.03472222222222224,0.08857113500016567
plugin_platform_24,DTMC-GA,17,7,6.559807786420344,6.4617673517852365,0.03219696969696971,0.10070673000154784
plugin_platform_24,DTMC-GA,18,0,6.107181945747919,5.631609652355539,0.8023989898989898,0.013564332000896684
plugin_platform_24,DTMC-GA,18,1,6.135315606025624,5.592964154405257,0.6395202020202019,0.025682100000267383
plugin_platform_24,DTMC-GA,18,2,6.199651804071726,6.107181945747919,0.32260101010101006,0.038014839999959804
plugin_platform_24,DTMC-GA,18,3,6.213146929752971,6.199651804071726,0.16161616161616166,0.05024508700080332
plugin_platform_24,DTMC-GA,18,4,6.236720420115158,6.203226215236159,0.13257575757575757,0.06245585500073503
plugin_platform_24,DTMC-GA,18,5,6.351810445256664,6.220057677500504,0.15404040404040403,0.0751074649997463
plugin_platform_24,DTMC-GA,18,6,6.496263113284478,6.351810445256664,0.1660353535353535,0.08752743700097199
plugin_platform_24,DTMC-GA,18,7,6.607755839642439,6.358969127135558,0.158459595959596,0.09979806500086852
plugin_platform_24,DTMC-GA,19,0,6.098189006737722,5.461215762678484,0.8137626262626263,0.01348440100082371
plugin_platform_24,DTMC-GA,19,1,6.120722309085639,5.8722020822490855,0.6464646464646465,0.025710992000313126
plugin_platform_24,DTMC-GA,19,2,6.3966487707268485,6.098189006737722,0.5012626262626262,0.038036522000766126
plugin_platform_24,DTMC-GA,19,3,6.549016693374345,6.1558380561609,0.45643939393939387,0.050261381000382244
plugin_platform_24,DTMC-GA,19,4,6.549016693374345,6.433362114302712,0.3541666666666666,0.06261123800140922
plugin_platform_24,DTMC-GA,19,5,6.549016693374345,6.549016693374345,0.09911616161616162,0.07478791399989859
plugin_platform_24,DTMC-GA,19,6,6.5825430005158845,6.549016693374345,0.026515151515151523,0.08670115499990061
plugin_platform_24,DTMC-GA,19,7,6.5825430005158845,6.549016693374345,0.035984848484848495,0.09886659400035569
plugin_platform_24,DTMC-GA,20,0,6.13853656783446,5.7419810626511865,0.7916666666666664,0.017002026999762165
plugin_platform_24,DTMC-GA,20,1,6.243664227603613,5.99975566125495,0.5833333333333335,0.033419003999370034
plugin_platform_24,DTMC-GA,20,2,6.551252241255128,6.13853656783446,0.40972222222222215,0.0482552069988742
plugin_platform_24,DTMC-GA,20,3,6.551252241255128,6.222922429152326,0.4065656565656565,0.06149027399987972
plugin_platform_24,DTMC-GA,20,4,6.551252241255128,6.399599458934713,0.33143939393939387,0.07378446700022323
plugin_platform_24,DTMC-GA,20,5,6.5634075618224355,6.551252241255128,0.07638888888888888,0.08581369199964684
plugin_platform_24,DTMC-GA,20,6,6.587298970659018,6.551252241255128,0.10921717171717171,0.09746212400023069
plugin_platform_24,DTMC-GA,20,7,6.621069221367457,6.5634075618224355,0.10290404040404036,0.1109355089993187
plugin_platform_24,DTMC-GA,21,0,5.962563610007942,5.374693615466224,0.7878787878787881,0.014758304998395033
plugin_platform_24,DTMC-GA,21,1,5.962563610007942,5.542499741208126,0.6553030303030302,0.02641658199900121
plugin_platform_24,DTMC-GA,21,2,5.962563610007942,5.657428487987559,0.5227272727272726,0.03799555099976715
plugin_platform_24,DTMC-GA,21,3,6.036435153626326,5.894182483365341,0.4949494949494947,0.04956531499919947
plugin_platform_24,DTMC-GA,21,4,6.4995496586958685,6.036435153626326,0.40593434343434337,0.06181938800000353
plugin_platform_24,DTMC-GA,21,5,6.583044498991677,6.117832356366544,0.3125000000000001,0.07354904199928569
plugin_platform_24,DTMC-GA,21,6,6.583044498991677,6.4995496586958685,0.1508838383838384,0.08508940299907408
plugin_platform_24,DTMC-GA,21,7,6.583044498991677,6.583044498991677,0.05050505050505052,0.09687720500005526
plugin_platform_24,DTMC-GA,22,0,6.3489350226180585,5.4960476832461405,0.8049242424242428,0.013042386999586597
plugin_platform_24,DTMC-GA,22,1,6.3489350226180585,6.068769166635881,0.6376262626262627,0.024588706000940874
plugin_platform_24,DTMC-GA,22,2,6.37675675870298,6.3489350226180585,0.38888888888888884,0.03623161100040306
plugin_platform_24,DTMC-GA,22,3,6.37675675870298,6.354260264725598,0.24684343434343442,0.04778294800053118
plugin_platform_24,DTMC-GA,22,4,6.444124853367209,6.362742578624435,0.17361111111111113,0.05942742400111456
plugin_platform_24,DTMC-GA,22,5,6.604831033224392,6.37675675870298,0.04040404040404039,0.07093108899971412
plugin_platform_24,DTMC-GA,22,6,6.634154536507596,6.444124853367209,0.0688131313131313,0.08244911600013438
plugin_platform_24,DTMC-GA,22,7,6.634154536507596,6.604831033224392,0.06691919191919192,0.09396895600002608
plugin_platform_24,DTMC-GA,23,0,6.306051062507878,5.503111842613697,0.8030303030303031,0.013299883999934536
plugin_platform_24,DTMC-GA,23,1,6.417112688333712,6.196897114515905,0.6628787878787878,0.024987425000290386
plugin_platform_24,DTMC-GA,23,2,6.417112688333712,6.342632858493796,0.3693181818181818,0.036399633001565235
plugin_platform_24,DTMC-GA,23,3,6.422788295998645,6.417112688333712,0.13510101010101006,0.048808999001266784
plugin_platform_24,DTMC-GA,23,4,6.422788295998645,6.422788295998645,0.029671717171717182,0.06100742800117587
plugin_platform_24,DTMC-GA,23,5,6.454466161534892,6.422788295998645,0.006944444444444445,0.07308237100005499
plugin_platform_24,DTMC-GA,23,6,6.602093555041135,6.422788295998645,0.03598484848484849,0.08506224200027646
plugin_platform_24,DTMC-GA,23,7,6.602093555041135,6.454466161534892,0.03598484848484848,0.09727354100141383
plugin_platform_24,DTMC-GA,24,0,5.790261544468096,5.326984302352074,0.7929292929292929,0.012913112999740406
plugin_platform_24,DTMC-GA,24,1,6.024462046619054,5.762853923203497,0.6003787878787878,0.024599603000751813
plugin_platform_24,DTMC-GA,24,2,6.203819487816025,5.884073463955226,0.5063131313131314,0.036549098000250524
plugin_platform_24,DTMC-GA,24,3,6.614545592729863,6.140107036136792,0.30429292929292934,0.04864491300031659
plugin_platform_24,DTMC-GA,24,4,6.614545592729863,6.203819487816025,0.19760101010101006,0.06062202899920521
plugin_platform_24,DTMC-GA,24,5,6.614545592729863,6.534111949297888,0.11489898989898989,0.07260028800010332
plugin_platform_24,DTMC-GA,24,6,6.614545592729863,6.546137607323878,0.07638888888888888,0.08437241600040579
plugin_platform_24,DTMC-GA,24,7,6.614545592729863,6.5995063357281305,0.06881313131313131,0.09611686300013389
plugin_platform_24,DTMC-GA,25,0,5.9246342512611045,5.248806355635207,0.7960858585858585,0.012981695999769727
plugin_platform_24,DTMC-GA,25,1,6.316976629578715,5.832352191028456,0.6439393939393938,0.02478507200066815
plugin_platform_24,DTMC-GA,25,2,6.423463872252235,6.220385655269691,0.3794191919191918,0.03635756999938167
plugin_platform_24,DTMC-GA,25,3,6.565132590781892,6.35335152462034,0.1742424242424242,0.04859069200028898
plugin_platform_24,DTMC-GA,25,4,6.565132590781892,6.479369672370272,0.11174242424242421,0.06016422200082161
plugin_platform_24,DTMC-GA,25,5,6.632232815304349,6.565132590781892,0.03472222222222224,0.07206406300065282
plugin_platform_24,DTMC-GA,25,6,6.632232815304349,6.565132590781892,0.029040404040404033,0.08500527800060809
plugin_platform_24,DTMC-GA,25,7,6.632232815304349,6.632232815304349,0.026515151515151516,0.09756699399986246
plugin_platform_24,DTMC-GA,26,0,5.944601755503876,5.392681256995702,0.7967171717171714,0.013346984998861444
plugin_platform_24,DTMC-GA,26,1,6.115714262968089,5.93907427812856,0.6218434343434344,0.025565795000147773
plugin_platform_24,DTMC-GA,26,2,6.145393866072694,5.944601755503876,0.2948232323232323,0.037776742999994894
