system,algorithm,metric,count,mean,median,sd,ci95,min,max
plugin_platform_24,Bunch,algorithm_runtime_s,30,0.10006501056662573,0.0976967405003961,0.00931951229309858,0.0034799630818355617,0.0952092710012948,0.1369959140010905
plugin_platform_24,DTMC-GA,speedup,30,3.0030811335299177,2.9848534689608233,0.10924968192885522,0.04079450167110503,2.778078468334318,3.323479763575705
plugin_platform_24,DTMC-GA,communication_overhead,30,0.2080769837728468,0.20920644170292063,0.010675366691346454,0.003986247434691779,0.1799505976471578,0.2255601600510007
plugin_platform_24,DTMC-GA,load_balance,30,0.8749403245326685,0.8850549309495828,0.04988264306862222,0.018626485039537434,0.7613260169215117,0.9535298802331552
plugin_platform_24,DTMC-GA,mq,30,28.707296000000003,28.97969,0.8262540389075475,0.30852832864924407,25.9055,29.69594
plugin_platform_24,DTMC-GA,algorithm_runtime_s,30,0.1013359602001704,0.0989532405010322,0.0068757352231151505,0.0025674417270350205,0.0940411740011768,0.1296501309989253
plugin_platform_24,FCA,speedup,30,2.878563357258471,2.878563357258471,0.0,0.0,2.878563357258471,2.878563357258471
plugin_platform_24,FCA,communication_overhead,30,0.19740722070341127,0.1974072207034113,2.823006427041851e-17,1.0541279239649844e-17,0.1974072207034113,0.1974072207034113
plugin_platform_24,FCA,load_balance,30,0.8540805736658186,0.8540805736658186,0.0,0.0,0.8540805736658186,0.8540805736658186
plugin_platform_24,FCA,mq,30,25.49676,25.49676,0.0,0.0,25.49676,25.49676
plugin_platform_24,FCA,algorithm_runtime_s,30,0.0013678627333016363,0.00132714399933315,0.000100628726265441,3.7575383921666666e-05,0.0013021560007473,0.0017892880005092
plugin_platform_24,RandomValidPartition,speedup,30,2.538053296161629,2.5889549933698355,0.28565060895400607,0.10666369035211411,1.821993138300412,3.070023094098413
plugin_platform_24,RandomValidPartition,communication_overhead,30,0.1973704245924731,0.19891429545992162,0.019198068875702985,0.00716867673209217,0.1675162522859762,0.2378379262167007
plugin_platform_24,RandomValidPartition,load_balance,30,0.5922211122146024,0.6338557230868056,0.15501328839629042,0.057882913166228,0.3279120434654906,0.847739822790238
plugin_platform_24,RandomValidPartition,mq,30,24.042629333333334,24.50632,3.8026414102132367,1.4199296384640976,15.3418,29.6714
plugin_platform_24,RandomValidPartition,algorithm_runtime_s,30,0.0010687086332229966,0.00104910150002975,6.25177993916426e-05,2.3344529949451153e-05,0.0010174979997827,0.0012796829996659
plugin_platform_24,TraditionalMQ,speedup,30,2.5701271511769326,2.570127151176932,4.516810283266961e-16,1.686604678343975e-16,2.570127151176932,2.570127151176932
plugin_platform_24,TraditionalMQ,communication_overhead,30,0.20561392778659002,0.20561392778659,2.823006427041851e-17,1.0541279239649844e-17,0.20561392778659,0.20561392778659
plugin_platform_24,TraditionalMQ,load_balance,30,0.689687390354426,0.6896873903544263,2.2584051416334807e-16,8.433023391719875e-17,0.6896873903544263,0.6896873903544263
plugin_platform_24,TraditionalMQ,mq,30,23.648119999999988,23.64812,1.0840344679840707e-14,4.04785122802554e-15,23.64812,23.64812
plugin_platform_24,TraditionalMQ,algorithm_runtime_s,30,0.00161161019968854,0.00154053949972875,0.00021935522578092322,8.19085874365553e-05,0.0014557569993485,0.0025021490000654
